id	Mass	molecular	a(xx)	a(yy)	a(zz)	ASA	ASA+	ASA-	ASA_H	ASA_P	Dreiding energy	fsp3	Harary index	Hyper wiener index	Maximal projection area	Maximal projection radius	Length perpendicular to the max area	Minimal projection area	Minimal projection radius	Length perpendicular to the min area	MMFF94 energy	Van der Waals surface area (3D)	Platt index	Polar surface area	Randic index	Szeged index	Van der Waals surface area (3D)	Wiener polarity	logP	acceptorcount	donorcount	accsitecount	donsitecount	count
111	332.439	37.07	53.82	39.35	18.03	410.54	328.74	81.80	358.62	51.92	105.12	0.10	88.87	3521	99.53	7.89	4.43	36.92	4.85	15.24	174.83	363.87	86	13.14	11.40	1811	363.87	39	5.27	0	0	0	0	200
112	330.475	36.81	53.18	38.88	18.36	422.84	331.99	90.84	409.36	13.48	128.16	0.10	88.87	3521	99.82	7.84	5.56	36.56	4.89	15.32	209.64	370.65	86	13.14	11.40	1811	370.65	39	2.91	0	0	0	0	200
113	297.3499	34.97	51.18	36.88	16.85	409.23	293.42	115.81	375.77	33.46	97.34	0.14	89.43	3280	95.80	7.83	5.39	38.26	5.46	15.61	188.72	357.31	86	28.93	11.40	1686	357.31	39	4.21	0	1	0	1	200
114	283.3266	32.11	50.40	30.25	15.69	414.82	307.64	107.18	377.97	36.84	65.75	0.11	80.75	3372	92.51	8.30	5.03	30.28	4.13	16.17	143.49	347.96	76	38.67	10.90	1931	347.96	37	2.67	3	0	3	0	200
115	375.28	35.19	36.42	52.80	16.37	442.18	307.52	134.65	388.77	53.41	89.86	0.05	94.74	3851	102.82	8.08	5.38	38.01	5.03	16.11	247.33	382.19	88	41.82	11.90	2026	382.19	42	4.21	2	1	2	1	200
116	385.32	37.01	40.70	51.96	18.38	448.05	313.24	134.81	428.99	19.06	109.90	0.04	100.86	4203	106.56	7.74	5.18	43.89	5.20	14.84	298.15	412.06	90	13.14	12.40	2444	412.06	45	6.02	1	0	1	0	200
117	439.44	42.60	46.16	59.50	22.13	491.85	366.85	125.00	473.68	18.17	148.85	0.04	120.90	5849	117.97	8.31	6.20	45.12	5.17	16.65	354.49	459.43	104	13.14	13.90	3220	459.43	53	5.27	1	0	1	0	200
118	332.439	37.17	40.39	53.07	18.06	426.34	330.10	96.24	396.13	30.21	105.28	0.10	89.43	3280	99.54	7.92	5.19	36.81	5.26	15.80	168.43	364.90	86	13.14	11.40	1686	364.90	39	5.25	0	0	0	0	200
119	427.43	41.51	57.98	44.40	22.14	447.24	370.98	76.26	427.93	19.31	143.47	0.08	114.83	5268	111.67	7.97	6.02	45.68	5.11	15.78	292.13	401.68	102	13.14	13.40	2698	401.68	50	2.72	1	0	1	0	200
120	429.40	42.38	61.58	46.24	19.33	498.16	306.60	191.56	433.02	65.14	106.14	0.04	113.39	5779	118.67	8.62	4.20	38.48	5.81	16.98	288.94	434.64	102	31.58	13.38	3045	434.64	49	5.75	1	2	1	2	200
121	410.711	45.06	62.86	49.79	22.53	476.31	426.17	50.13	476.31	0.00	205.93	0.04	113.39	5779	121.15	8.65	5.55	49.80	6.52	16.65	318.60	407.71	102	0.00	13.38	3045	407.71	49	-0.36	0	0	0	0	200
122	378.5701	41.78	57.56	46.98	20.80	461.89	383.43	78.46	384.06	77.83	161.12	0.08	115.42	5027	116.21	8.11	5.21	45.86	6.13	15.47	307.18	415.87	102	13.14	13.40	2755	415.87	50	1.37	0	0	0	0	157
123	442.39	42.29	60.47	44.56	21.84	472.68	319.92	152.75	421.79	50.88	119.09	0.04	120.67	5995	115.60	8.52	6.34	42.03	5.00	16.44	284.60	446.44	104	26.03	13.90	3228	446.44	53	5.38	2	0	2	0	200
124	410.586	44.87	61.85	51.38	21.39	493.94	338.18	155.75	493.94	0.00	142.23	0.04	119.39	6406	121.23	8.33	5.37	42.72	5.98	16.56	277.16	445.42	104	25.78	13.88	3604	445.42	52	4.35	2	0	2	0	200
125	356.4584	43.45	58.96	50.55	20.85	456.76	337.71	119.05	456.76	0.00	112.44	0.14	121.42	5654	116.49	8.09	4.73	44.93	6.31	15.30	230.41	423.67	104	0.00	13.90	3276	423.67	53	5.54	0	0	0	0	1
126	401.39	38.24	55.03	41.10	18.58	476.25	354.51	121.74	446.86	29.38	106.64	0.05	99.64	4723	110.36	8.45	5.40	41.14	5.31	16.64	244.82	400.33	90	25.78	12.40	2542	400.33	45	2.70	3	0	3	0	200
127	377.5854	42.38	58.02	48.12	21.00	468.72	392.52	76.20	449.21	19.50	160.24	0.08	115.42	5027	116.26	8.33	6.09	47.14	6.11	16.62	331.45	418.99	102	15.79	13.40	2755	418.99	50	0.39	0	1	0	1	200
128	341.29	31.07	43.08	34.46	15.67	358.21	238.16	120.06	358.21	0.00	64.78	0.12	72.14	2046	87.54	7.04	5.79	35.22	4.79	13.99	177.42	316.05	72	25.78	9.92	1178	316.05	32	4.39	3	0	3	0	200
129	392.544	43.91	61.66	49.23	20.83	507.30	382.98	124.32	486.45	20.86	152.82	0.04	118.78	6573	121.25	8.53	4.51	40.97	5.95	16.78	314.94	456.22	104	13.14	13.87	3440	456.22	51	4.24	0	0	0	0	200
130	438.45	43.60	60.29	49.51	21.01	493.71	386.54	107.17	474.44	19.27	131.68	0.08	121.37	5705	121.37	8.55	6.47	49.07	6.16	16.50	281.99	421.19	104	12.89	13.90	3291	421.19	53	3.13	2	0	2	0	200
131	326.21	29.81	47.86	27.63	13.94	411.93	261.32	150.61	345.99	65.94	71.52	0.06	70.26	2554	85.93	7.91	5.06	32.94	4.90	15.61	174.45	316.28	72	39.17	9.90	1293	316.28	31	3.33	2	0	2	0	200
132	335.4733	38.33	45.81	50.86	18.31	476.24	350.02	126.21	456.33	19.90	123.36	0.04	100.72	4200	111.12	7.57	4.52	44.56	6.06	14.95	298.97	417.42	90	15.79	12.40	2467	417.42	45	3.39	0	1	0	1	200
133	392.33	37.20	39.76	54.36	17.49	450.90	309.84	141.06	405.59	45.31	82.83	0.05	94.24	4086	105.22	8.15	5.46	34.31	5.13	16.27	196.87	385.55	88	26.03	11.90	2247	385.55	42	4.64	2	0	2	0	200
134	375.4941	41.84	43.35	60.84	21.34	473.22	351.74	121.48	381.23	91.99	141.33	0.08	119.99	6177	113.74	8.78	5.15	44.90	5.55	17.03	295.03	424.10	104	26.03	13.88	3369	424.10	52	1.41	1	0	1	0	200
135	329.375	35.68	38.21	51.65	17.17	415.80	297.52	118.28	367.26	48.54	81.82	0.11	95.03	3763	97.92	8.01	5.24	36.47	5.05	15.86	152.80	360.54	88	51.81	11.90	2092	360.54	42	3.79	3	0	3	0	200
136	319.3985	38.22	56.21	39.79	18.66	429.17	318.30	110.87	417.01	12.16	90.94	0.12	98.36	5062	105.81	8.44	5.22	39.72	5.28	16.39	189.56	379.01	90	12.89	12.37	2625	379.01	43	4.55	1	0	1	0	10
137	272.4158	32.48	16.80	31.81	48.85	372.08	316.99	55.10	372.08	0.00	107.46	0.16	70.01	2545	88.04	7.74	5.38	36.43	4.56	15.32	178.22	298.76	72	0.00	9.88	1229	298.76	30	0.29	0	0	0	0	1
138	330.4843	35.15	52.19	35.58	17.68	443.43	368.39	75.04	408.23	35.20	154.22	0.05	88.87	3521	100.17	8.10	5.27	36.60	4.73	16.06	247.92	373.66	86	26.28	11.40	1811	373.66	39	0.85	0	0	0	0	200
139	393.44	36.67	52.31	39.27	18.45	441.21	365.15	76.06	429.64	11.58	132.38	0.05	88.87	3521	104.58	8.02	5.73	45.26	6.10	14.20	266.07	362.45	86	13.14	11.40	1811	362.45	39	-0.05	1	0	1	0	200
140	334.27	32.27	49.14	31.84	15.84	417.54	303.87	113.68	384.74	32.80	57.21	0.11	75.79	2828	93.24	8.17	5.31	29.96	4.29	16.34	183.43	347.59	74	12.89	10.40	1555	347.59	34	3.93	2	0	2	0	103
141	413.33	40.62	43.11	59.93	18.83	454.59	345.22	109.37	406.91	47.68	101.43	0.08	113.39	5779	112.74	8.43	5.29	38.21	5.39	16.76	232.14	400.23	102	26.28	13.38	3045	400.23	49	5.37	1	0	1	0	200
142	363.474	42.92	62.06	46.39	20.31	439.45	331.81	107.64	410.59	28.87	117.57	0.12	113.39	5779	113.82	8.43	5.40	42.90	5.69	16.73	224.46	402.25	102	15.79	13.38	3045	402.25	49	5.47	0	1	0	1	200
143	407.42	38.07	55.61	39.94	18.66	452.05	304.81	147.24	452.05	0.00	102.52	0.05	93.00	4515	106.91	8.28	5.22	35.39	4.79	16.66	260.19	388.91	88	25.78	11.88	2364	388.91	41	2.71	3	0	3	0	200
144	390.37	36.26	54.02	37.15	17.61	455.73	321.02	134.71	377.96	77.77	105.75	0.05	94.24	4086	105.45	8.22	5.68	35.24	4.98	16.30	276.14	391.72	88	26.03	11.90	2247	391.72	42	1.91	2	0	2	0	200
145	387.20	31.42	48.80	29.97	15.50	405.83	297.93	107.89	363.61	42.21	51.79	0.12	70.45	2525	91.52	8.09	4.52	28.50	4.02	16.10	206.19	331.64	72	12.89	9.90	1327	331.64	31	3.19	3	0	3	0	200
146	448.42	42.38	59.16	48.14	19.84	460.77	283.19	177.58	423.18	37.59	111.18	0.05	114.83	5268	116.10	8.39	4.84	38.77	5.90	16.66	268.10	421.48	102	41.57	13.40	2698	421.48	50	5.66	3	1	3	1	200
147	389.5961	43.49	60.37	45.81	24.31	464.38	380.65	83.73	454.38	10.00	168.32	0.08	119.99	6177	116.29	8.54	7.39	53.19	5.73	16.40	302.71	412.95	104	12.89	13.88	3369	412.95	52	-0.08	1	0	1	0	10
148	344.453	37.95	46.07	49.22	18.55	412.64	262.34	150.30	412.64	0.00	88.80	0.10	95.25	3630	103.09	7.18	4.60	44.72	5.83	13.52	165.80	375.23	88	25.78	11.90	2047	375.23	42	5.24	2	0	2	0	200
149	429.40	42.44	61.00	45.85	20.46	427.58	295.10	132.48	427.58	0.00	92.86	0.13	113.88	5530	114.28	8.66	4.72	38.13	5.50	17.14	231.46	395.18	102	25.78	13.38	2688	395.18	49	4.97	3	0	3	0	200
150	428.20	34.44	52.88	34.37	16.08	440.40	324.60	115.80	379.65	60.75	83.01	0.05	89.11	3389	101.60	8.21	4.21	35.92	4.56	16.31	254.15	369.90	86	26.28	11.40	1785	369.90	39	4.88	2	0	2	0	200
151	337.23	31.08	29.55	48.95	14.72	425.43	267.88	157.55	374.89	50.54	61.04	0.06	75.29	3033	91.39	8.14	5.47	28.54	4.35	16.27	163.74	336.10	74	38.92	10.40	1677	336.10	34	3.05	3	0	3	0	200
152	397.38	36.13	52.94	37.78	17.67	424.91	311.92	112.98	395.73	29.18	120.16	0.06	89.11	3389	100.98	8.27	4.53	34.06	4.81	16.37	229.55	361.46	86	38.92	11.40	1785	361.46	39	3.20	3	0	3	0	200
153	390.37	36.36	53.06	38.34	17.67	443.46	352.12	91.34	408.95	34.51	122.12	0.05	94.74	3851	106.16	8.13	4.52	37.73	4.95	16.18	256.49	368.40	88	26.03	11.90	2026	368.40	42	1.85	2	0	2	0	200
154	309.481	33.20	50.50	32.11	16.99	414.79	298.32	116.48	382.12	32.67	115.04	0.06	70.45	2525	91.14	8.24	4.72	28.82	4.04	16.45	176.48	331.75	72	12.89	9.90	1327	331.75	31	2.11	1	0	1	0	200
155	303.453	33.32	36.11	47.04	16.82	418.87	292.36	126.50	378.97	39.89	128.13	0.06	76.24	2624	95.11	7.67	4.52	34.94	5.00	14.48	224.71	351.88	74	12.89	10.40	1551	351.88	34	1.56	1	0	1	0	200
156	328.387	36.68	38.65	53.86	17.52	428.24	317.88	110.36	410.94	17.30	81.82	0.10	93.73	4179	100.06	7.95	5.34	34.34	4.93	15.55	164.32	368.86	88	38.92	11.88	2140	368.86	41	4.63	2	0	2	0	200
157	443.38	43.07	47.27	62.27	19.67	499.21	324.09	175.12	470.98	28.22	101.99	0.04	119.12	6573	118.93	8.64	5.02	47.49	6.24	16.64	245.79	437.68	104	38.92	13.88	3566	437.68	52	5.95	3	0	3	0	200
158	325.426	38.10	55.78	40.33	18.18	445.66	295.35	150.30	411.44	34.22	98.77	0.09	92.31	4639	104.94	8.44	4.61	32.17	4.78	16.87	200.26	388.62	88	15.79	11.87	2335	388.62	40	5.40	0	1	0	1	200
159	321.3746	36.80	53.53	39.43	17.43	450.32	311.43	138.90	405.43	44.89	93.86	0.09	100.45	4384	104.46	8.28	5.09	38.68	5.56	15.55	207.35	394.03	90	41.57	12.40	2527	394.03	45	3.33	2	1	2	1	200
160	325.4354	36.60	54.68	37.08	18.04	423.98	327.91	96.06	393.31	30.66	121.63	0.10	93.00	4515	100.90	8.25	6.05	38.14	4.61	16.58	206.89	361.08	88	26.03	11.88	2364	361.08	41	1.69	1	0	1	0	200
161	363.474	42.42	58.13	48.88	20.23	441.59	311.49	130.09	422.09	19.49	113.52	0.12	115.42	5027	113.68	8.05	5.18	42.80	5.98	15.32	238.83	425.52	102	15.79	13.40	2755	425.52	50	5.89	0	1	0	1	200
162	413.33	39.93	57.77	42.06	19.97	451.41	329.20	122.21	414.67	36.75	109.86	0.08	114.83	5268	111.63	8.11	5.86	41.38	5.39	15.53	268.22	413.44	102	26.28	13.40	2698	413.44	50	5.26	1	0	1	0	200
163	359.4226	41.45	58.30	46.99	19.05	471.85	303.88	167.97	418.23	53.63	119.73	0.08	121.37	5705	116.82	8.36	4.34	40.99	6.16	16.12	278.09	438.78	104	44.47	13.90	3291	438.78	53	4.23	1	2	1	2	200
164	333.29	32.51	45.42	36.13	15.97	393.82	284.31	109.51	385.75	8.06	83.33	0.10	77.35	2365	94.34	7.26	4.81	38.32	5.50	14.05	229.74	352.27	74	0.00	10.42	1505	352.27	35	5.32	1	0	1	0	16
165	374.497	44.48	46.05	64.44	22.94	473.38	354.51	118.86	473.38	0.00	118.09	0.11	119.58	6341	117.58	8.80	6.30	45.51	5.11	17.35	234.76	428.75	104	0.00	13.88	3190	428.75	52	5.82	0	0	0	0	200
166	274.3887	31.10	47.14	30.30	15.86	412.24	321.84	90.40	407.72	4.52	110.12	0.11	70.01	2545	88.14	7.86	4.71	30.14	4.19	15.58	218.04	330.33	72	13.14	9.88	1229	330.33	30	1.47	0	0	0	0	200
167	428.42	40.83	58.42	43.36	20.70	470.62	350.38	120.23	433.70	36.92	139.98	0.04	114.83	5268	114.53	8.35	5.22	43.09	5.32	16.64	345.08	436.47	102	28.93	13.40	2698	436.47	50	4.28	1	1	1	1	200
168	388.18	31.32	48.93	30.16	14.88	426.73	279.24	147.48	390.26	36.47	55.12	0.06	70.26	2554	91.60	8.11	4.80	28.98	4.17	16.25	205.38	335.76	72	13.14	9.90	1293	335.76	31	4.46	2	0	2	0	200
169	375.4941	41.92	59.76	46.40	19.59	494.10	363.74	130.36	455.37	38.74	148.97	0.04	121.37	5705	118.99	8.44	5.04	42.90	5.91	15.98	346.05	451.83	104	28.93	13.90	3291	451.83	53	3.58	0	1	0	1	200
170	334.27	32.37	49.40	31.85	15.88	423.37	321.12	102.25	388.21	35.16	57.80	0.11	75.29	2936	93.86	8.13	4.33	30.58	4.38	16.19	171.33	347.58	74	12.89	10.38	1537	347.58	33	3.93	2	0	2	0	95
171	332.448	36.49	34.93	57.04	17.50	443.14	330.56	112.57	391.60	51.54	141.51	0.05	87.44	3979	99.59	8.55	4.71	31.80	4.75	17.05	215.77	367.43	86	26.28	11.38	1900	367.43	38	2.46	0	0	0	0	200
172	370.575	39.51	45.33	53.65	19.54	489.36	354.51	134.85	489.36	0.00	157.14	0.00	99.45	4540	113.39	8.02	4.59	39.82	5.67	15.66	336.63	413.40	90	25.78	12.38	2615	413.40	44	0.47	2	0	2	0	42
173	365.447	41.53	43.23	61.94	19.40	473.40	316.96	156.44	423.20	50.20	127.69	0.08	113.88	5530	114.17	8.73	4.88	37.38	5.18	17.30	253.27	425.11	102	28.93	13.38	2688	425.11	49	5.51	0	1	0	1	200
174	403.27	31.67	48.31	30.70	15.99	430.57	316.45	114.12	390.27	40.30	78.52	0.06	70.73	2402	93.95	8.11	5.61	33.53	4.04	16.05	258.47	342.19	72	12.89	9.90	1232	342.19	31	1.43	3	0	3	0	174
175	362.4953	41.39	57.21	46.62	20.33	445.46	368.47	77.00	385.50	59.97	133.56	0.12	115.42	5027	113.37	8.03	5.56	44.64	6.20	14.25	244.97	406.84	102	13.14	13.40	2755	406.84	50	3.33	0	0	0	0	166
176	492.35	43.69	62.83	47.56	20.67	454.31	328.83	125.48	419.44	34.87	101.19	0.08	113.05	5869	119.59	8.72	5.60	42.41	5.95	17.06	277.06	418.16	102	0.00	13.38	2873	418.16	49	6.07	2	0	2	0	200
177	356.38	32.40	49.33	31.39	16.48	425.31	317.37	107.94	385.17	40.14	97.22	0.06	70.73	2402	92.82	8.21	4.62	29.29	3.85	16.43	201.97	337.15	72	12.89	9.90	1232	337.15	31	1.67	2	0	2	0	200
178	384.33	38.31	40.05	56.59	18.30	443.85	336.06	107.79	428.03	15.82	79.15	0.09	98.57	5042	108.02	8.62	5.02	33.75	4.74	17.20	210.15	385.00	90	12.89	12.38	2569	385.00	44	5.23	2	0	2	0	101
179	392.33	36.87	36.41	56.77	17.44	463.63	326.57	137.06	399.90	63.72	84.51	0.05	93.00	4515	104.82	8.57	5.24	37.24	4.80	17.10	211.32	385.24	88	26.03	11.88	2364	385.24	41	5.01	2	0	2	0	200
180	301.4894	32.79	45.95	35.37	17.05	419.42	321.34	98.07	392.17	27.25	147.84	0.06	76.24	2624	93.81	7.74	5.98	37.73	4.98	14.36	286.23	333.42	74	12.89	10.40	1551	333.42	34	-1.92	1	0	1	0	3
181	320.3865	37.37	39.79	54.08	18.24	433.33	309.58	123.75	405.95	27.37	91.05	0.13	100.45	4384	104.18	8.34	4.81	36.79	5.07	16.60	173.98	373.05	90	25.78	12.40	2527	373.05	45	2.76	2	0	2	0	56
182	389.37	38.71	54.98	42.58	18.55	465.22	359.47	105.75	449.94	15.28	84.37	0.09	94.97	3733	107.63	8.12	4.75	36.48	5.59	16.11	230.88	396.64	88	0.00	11.90	2099	396.64	42	5.66	1	0	1	0	200
183	356.588	39.63	56.81	42.15	19.92	448.80	386.16	62.64	441.68	7.12	156.77	0.05	92.31	4639	110.66	8.68	4.62	37.77	5.03	17.25	250.41	382.85	88	0.00	11.87	2335	382.85	40	1.98	0	0	0	0	200
184	425.34	41.09	43.76	60.76	18.77	493.42	333.27	160.15	440.45	52.97	105.97	0.04	119.25	6455	118.46	8.60	5.56	43.55	5.00	17.16	296.45	444.33	104	41.82	13.88	3291	444.33	52	5.12	2	1	2	1	200
185	397.38	37.24	53.00	40.46	18.27	413.06	291.48	121.58	372.06	41.00	82.86	0.11	88.87	3521	100.43	8.10	4.85	37.34	4.97	16.16	180.23	359.43	86	25.78	11.40	1811	359.43	39	4.82	3	0	3	0	200
186	352.524	40.27	47.55	53.73	19.52	486.72	354.12	132.60	457.33	29.39	154.93	0.04	99.72	4404	112.90	7.87	4.52	43.29	6.25	15.40	296.26	422.06	90	0.00	12.38	2647	422.06	44	3.87	0	0	0	0	200
187	343.474	37.13	36.55	56.70	18.13	458.41	330.42	127.99	412.79	45.62	124.32	0.05	93.00	4515	103.72	8.54	5.54	33.55	4.62	17.19	228.83	387.24	88	26.03	11.88	2364	387.24	41	2.55	1	0	1	0	200
188	463.51	43.52	59.70	49.74	21.11	465.86	340.66	125.20	435.10	30.76	141.24	0.05	114.83	5268	120.02	8.35	4.52	38.35	5.26	16.23	273.27	418.54	102	25.78	13.40	2698	418.54	50	4.02	3	0	3	0	200
189	375.4941	42.01	61.11	44.69	20.24	481.48	354.31	127.16	378.91	102.56	142.58	0.08	119.78	6275	115.64	8.70	5.74	42.47	5.12	17.47	283.36	434.14	104	26.03	13.88	3435	434.14	52	3.15	1	0	1	0	200
190	340.30	32.41	50.39	30.82	16.02	405.37	274.50	130.88	389.47	15.90	72.42	0.12	70.26	2554	90.16	8.18	4.68	30.09	3.96	16.18	167.28	326.79	72	12.89	9.90	1293	326.79	31	3.50	2	0	2	0	200
191	320.3865	37.66	57.19	38.04	17.75	457.09	327.60	129.48	427.45	29.64	95.44	0.09	98.86	4954	105.19	8.60	5.54	36.27	5.19	16.84	220.48	401.85	90	28.68	12.38	2671	401.85	44	4.55	1	1	1	1	200
192	319.3985	38.14	55.56	40.35	18.49	441.70	310.58	131.12	430.25	11.45	92.22	0.12	100.45	4384	105.42	8.31	5.91	41.35	5.05	16.58	197.04	380.57	90	12.89	12.40	2527	380.57	45	3.98	1	0	1	0	18
193	406.646	45.34	61.51	52.41	22.11	498.86	408.34	90.52	475.55	23.31	198.02	0.04	121.37	5705	123.73	8.49	5.90	45.92	6.12	16.88	365.76	445.85	104	0.00	13.90	3291	445.85	53	1.20	0	0	0	0	200
194	395.624	43.73	63.77	46.09	21.34	478.44	373.25	105.19	459.08	19.36	194.18	0.04	113.88	5530	119.92	8.88	4.92	42.39	5.60	17.46	330.66	421.86	102	15.79	13.38	2688	421.86	49	1.99	0	1	0	1	200
195	389.37	39.14	59.60	39.18	18.65	462.27	320.42	141.85	444.31	17.96	90.81	0.09	92.64	4645	107.48	8.71	4.71	34.20	4.82	17.40	230.72	396.54	88	0.00	11.88	2316	396.54	41	5.82	1	0	1	0	200
196	254.382	26.43	34.41	30.75	14.13	341.04	265.46	75.58	341.04	0.00	86.73	0.08	55.90	1181	77.26	6.44	4.52	35.21	5.03	12.69	159.10	279.19	58	25.78	8.43	736	279.19	25	2.57	2	0	2	0	200
197	313.5001	34.24	36.98	48.41	17.31	480.09	340.46	139.63	469.50	10.59	139.23	0.00	79.95	3491	102.16	8.02	4.59	37.03	4.83	15.86	296.14	381.69	76	12.89	10.88	1989	381.69	36	-0.51	1	0	1	0	3
198	297.4253	33.75	51.21	33.36	16.67	447.81	303.78	144.03	437.29	10.52	97.47	0.05	80.75	3372	97.78	8.41	5.24	36.73	4.61	16.26	218.03	372.13	76	12.89	10.90	1931	372.13	37	2.47	1	0	1	0	10
199	445.47	42.33	45.52	59.73	21.76	463.30	362.84	100.46	425.86	37.45	151.47	0.04	114.83	5268	116.04	8.37	5.94	45.29	5.64	15.95	304.37	417.19	102	13.14	13.40	2698	417.19	50	3.41	1	0	1	0	200
200	423.36	42.54	58.57	49.29	19.76	495.79	364.39	131.40	481.91	13.87	105.14	0.08	121.49	5608	119.80	8.18	5.11	44.01	6.49	15.30	269.01	436.86	104	13.14	13.90	3306	436.86	53	6.08	1	0	1	0	200
